"","number","player","yr","pos","ht","b_t","app","gs","era","ip","cg","h","r","er","bb","so","sho","bf","p_oab","x2b_a","x3b_a","bk","hr_a","wp","hb","ibb","inh_run","inh_run_score","sha","sfa","pitches","go","fo","w","l","sv","kl","pickoffs","AB","BAA","team_id","year"
"1","26","Brandon McSorley","Sr","P","6-4","R/R",2,NA,0,2.1,NA,1,NA,NA,NA,3,NA,9,"9",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"20",1,3,NA,NA,NA,1,NA,NA,NA,597157,2025
"2","Succ-Opp against Leadoff Batter","Brandon McSorley","Sr","P","6-4","R/R",NA,NA,0,0.1,NA,0,0,0,0,1,NA,2,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"3","Hits-AB with runners ob","Brandon McSorley","Sr","P","6-4","R/R",NA,NA,0,1.1,NA,1,0,0,0,2,NA,5,"5",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"",NA,2,NA,NA,NA,1,NA,NA,NA,597157,2025
"4","Hits-AB vs lhb","Brandon McSorley","Sr","P","6-4","R/R",NA,NA,0,0.1,NA,0,0,0,0,0,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,597157,2025
"5","Hits-AB w2outs","Brandon McSorley","Sr","P","6-4","R/R",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"6","Bases Empty","Brandon McSorley","Sr","P","6-4","R/R",NA,NA,0,1,NA,0,0,0,0,1,NA,4,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,1,NA,NA,NA,NA,NA,NA,NA,597157,2025
"7","H-AB scorepos","Brandon McSorley","Sr","P","6-4","R/R",NA,NA,0,1.1,NA,0,0,0,0,2,NA,4,"4",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"",NA,2,NA,NA,NA,1,NA,NA,NA,597157,2025
"8","H-AB scorepos2","Brandon McSorley","Sr","P","6-4","R/R",NA,NA,0,0.1,NA,0,0,0,0,1,NA,1,"1",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,1,NA,NA,NA,597157,2025
"9","H-AB runners2","Brandon McSorley","Sr","P","6-4","R/R",NA,NA,0,0.1,NA,0,0,0,0,1,NA,1,"1",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,1,NA,NA,NA,597157,2025
"10","Hits-AB vs rhb","Brandon McSorley","Sr","P","6-4","R/R",NA,NA,0,2,NA,1,0,0,0,3,NA,8,"8",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"",1,2,NA,NA,NA,1,NA,NA,NA,597157,2025
"11","14","Nicholas Cannata","Sr","P","-","R/R",11,7,5.96,22.2,NA,30,20,15,8,22,NA,115,"92",5,4,NA,1,1,10,NA,NA,NA,1,4,"396",21,17,NA,2,NA,4,3,NA,NA,597157,2025
"12","Succ-Opp against Leadoff Batter","Nicholas Cannata","Sr","P","-","R/R",NA,NA,0,3.1,NA,7,0,0,2,6,NA,25,"20",1,1,NA,1,NA,3,NA,NA,NA,NA,NA,"",2,2,NA,NA,NA,NA,NA,NA,NA,597157,2025
"13","Hits-AB with runners ob","Nicholas Cannata","Sr","P","-","R/R",NA,NA,0,17.2,NA,19,0,0,2,14,NA,78,"70",3,2,NA,NA,1,5,NA,NA,NA,NA,NA,"",13,15,NA,NA,NA,4,NA,NA,NA,597157,2025
"14","Hits-AB vs lhb","Nicholas Cannata","Sr","P","-","R/R",NA,NA,0,2.1,NA,8,0,0,1,3,NA,15,"14",1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,1,NA,NA,NA,NA,NA,NA,NA,597157,2025
"15","Hits-AB w2outs","Nicholas Cannata","Sr","P","-","R/R",NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"16","Bases Empty","Nicholas Cannata","Sr","P","-","R/R",NA,NA,0,5,NA,11,0,0,6,8,NA,40,"29",2,2,NA,1,NA,5,NA,NA,NA,NA,NA,"",5,2,NA,NA,NA,NA,NA,NA,NA,597157,2025
"17","H-AB scorepos","Nicholas Cannata","Sr","P","-","R/R",NA,NA,0,10,NA,14,0,0,1,7,NA,47,"44",1,2,NA,NA,NA,2,NA,NA,NA,NA,NA,"",6,11,NA,NA,NA,1,NA,NA,NA,597157,2025
"18","H-AB scorepos2","Nicholas Cannata","Sr","P","-","R/R",NA,NA,0,4.1,NA,7,0,0,0,3,NA,19,"19",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",5,3,NA,NA,NA,NA,NA,NA,NA,597157,2025
"19","H-AB runners2","Nicholas Cannata","Sr","P","-","R/R",NA,NA,0,6,NA,9,0,0,0,4,NA,27,"26",2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"",8,3,NA,NA,NA,NA,NA,NA,NA,597157,2025
"20","H-AB bases loaded","Nicholas Cannata","Sr","P","-","R/R",NA,NA,0,1.2,NA,1,0,0,0,2,NA,6,"5",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,597157,2025
"21","Hits-AB vs rhb","Nicholas Cannata","Sr","P","-","R/R",NA,NA,0,19.2,NA,22,0,0,7,18,NA,101,"83",4,1,NA,1,1,10,NA,NA,NA,NA,NA,"",17,15,NA,NA,NA,3,NA,NA,NA,597157,2025
"22","1","Pat Hart","Sr","P","-","R/R",8,NA,5.4,10,NA,12,6,6,6,2,NA,46,"38",2,1,NA,2,NA,2,NA,NA,NA,NA,NA,"108",17,7,NA,NA,NA,2,NA,NA,NA,597157,2025
"23","Succ-Opp against Leadoff Batter","Pat Hart","Sr","P","-","R/R",NA,NA,0,1.1,NA,3,0,0,2,1,NA,9,"7",NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,"",2,1,NA,NA,NA,1,NA,NA,NA,597157,2025
"24","Hits-AB with runners ob","Pat Hart","Sr","P","-","R/R",NA,NA,0,6.1,NA,5,0,0,2,0,NA,25,"22",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"",11,4,NA,NA,NA,NA,NA,NA,NA,597157,2025
"25","Hits-AB vs lhb","Pat Hart","Sr","P","-","R/R",NA,NA,NA,0,NA,1,0,0,0,0,NA,1,"1",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"26","Hits-AB w2outs","Pat Hart","Sr","P","-","R/R",NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"27","Bases Empty","Pat Hart","Sr","P","-","R/R",NA,NA,0,3.2,NA,7,0,0,4,2,NA,23,"18",1,1,NA,2,NA,1,NA,NA,NA,NA,NA,"",6,3,NA,NA,NA,2,NA,NA,NA,597157,2025
"28","H-AB scorepos","Pat Hart","Sr","P","-","R/R",NA,NA,0,3,NA,3,0,0,2,0,NA,13,"11",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",7,1,NA,NA,NA,NA,NA,NA,NA,597157,2025
"29","H-AB scorepos2","Pat Hart","Sr","P","-","R/R",NA,NA,0,1,NA,2,0,0,2,0,NA,7,"5",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",3,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"30","H-AB runners2","Pat Hart","Sr","P","-","R/R",NA,NA,0,2.1,NA,2,0,0,2,0,NA,11,"9",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",6,1,NA,NA,NA,NA,NA,NA,NA,597157,2025
"31","H-AB bases loaded","Pat Hart","Sr","P","-","R/R",NA,NA,0,0.1,NA,0,0,0,0,0,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"32","Hits-AB vs rhb","Pat Hart","Sr","P","-","R/R",NA,NA,0,6.1,NA,7,0,0,4,2,NA,29,"24",1,1,NA,1,NA,1,NA,NA,NA,NA,NA,"",10,5,NA,NA,NA,2,NA,NA,NA,597157,2025
"33","10","John Connolly","Sr","P","-","R/R",12,10,3.14,51.2,NA,46,18,18,27,46,NA,227,"193",9,1,3,3,3,5,NA,NA,NA,1,1,"843",50,50,6,NA,NA,14,NA,NA,NA,597157,2025
"34","Succ-Opp against Leadoff Batter","John Connolly","Sr","P","-","R/R",NA,NA,0,11.1,NA,11,0,0,6,11,NA,52,"45",2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,"",14,9,NA,NA,NA,4,NA,NA,NA,597157,2025
"35","Hits-AB with runners ob","John Connolly","Sr","P","-","R/R",NA,NA,0,29.1,NA,20,0,0,10,24,NA,115,"102",4,1,3,NA,3,1,NA,NA,NA,NA,NA,"",26,28,NA,NA,NA,7,NA,NA,NA,597157,2025
"36","Hits-AB vs lhb","John Connolly","Sr","P","-","R/R",NA,NA,0,8.2,NA,7,0,0,4,3,NA,36,"32",3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"",13,9,NA,NA,NA,2,NA,NA,NA,597157,2025
"37","Hits-AB w2outs","John Connolly","Sr","P","-","R/R",NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"38","Bases Empty","John Connolly","Sr","P","-","R/R",NA,NA,0,22.1,NA,26,0,0,17,22,NA,115,"94",5,NA,NA,3,NA,4,NA,NA,NA,NA,NA,"",23,22,NA,NA,NA,7,NA,NA,NA,597157,2025
"39","H-AB scorepos","John Connolly","Sr","P","-","R/R",NA,NA,0,15.2,NA,11,0,0,3,11,NA,57,"52",2,1,3,NA,2,NA,NA,NA,NA,NA,NA,"",13,16,NA,NA,NA,4,NA,NA,NA,597157,2025
"40","H-AB scorepos2","John Connolly","Sr","P","-","R/R",NA,NA,0,6.1,NA,3,0,0,2,4,NA,24,"22",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"",5,9,NA,NA,NA,2,NA,NA,NA,597157,2025
"41","H-AB runners2","John Connolly","Sr","P","-","R/R",NA,NA,0,11.2,NA,6,0,0,6,9,NA,47,"41",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"",12,12,NA,NA,NA,4,NA,NA,NA,597157,2025
"42","H-AB bases loaded","John Connolly","Sr","P","-","R/R",NA,NA,0,1,NA,1,0,0,0,0,NA,5,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2,1,NA,NA,NA,NA,NA,NA,NA,597157,2025
"43","Hits-AB vs rhb","John Connolly","Sr","P","-","R/R",NA,NA,0,43,NA,39,0,0,23,43,NA,194,"164",6,1,3,3,1,5,NA,NA,NA,NA,NA,"",36,41,NA,NA,NA,12,NA,NA,NA,597157,2025
"44","39","Foch Lovejoy","Sr","P","-","R/R",1,NA,0,1,NA,1,NA,NA,1,1,NA,5,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22",1,1,NA,NA,NA,NA,NA,NA,NA,597157,2025
"45","Succ-Opp against Leadoff Batter","Foch Lovejoy","Sr","P","-","R/R",NA,NA,0,0.1,NA,0,0,0,0,1,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"46","Hits-AB with runners ob","Foch Lovejoy","Sr","P","-","R/R",NA,NA,0,0.2,NA,0,0,0,1,0,NA,3,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,1,NA,NA,NA,NA,NA,NA,NA,597157,2025
"47","Hits-AB w2outs","Foch Lovejoy","Sr","P","-","R/R",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"48","Bases Empty","Foch Lovejoy","Sr","P","-","R/R",NA,NA,0,0.1,NA,1,0,0,0,1,NA,2,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"49","H-AB scorepos","Foch Lovejoy","Sr","P","-","R/R",NA,NA,0,0.2,NA,0,0,0,0,0,NA,2,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,1,NA,NA,NA,NA,NA,NA,NA,597157,2025
"50","H-AB scorepos2","Foch Lovejoy","Sr","P","-","R/R",NA,NA,0,0.1,NA,0,0,0,0,0,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"51","H-AB runners2","Foch Lovejoy","Sr","P","-","R/R",NA,NA,0,0.1,NA,0,0,0,0,0,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"52","Hits-AB vs rhb","Foch Lovejoy","Sr","P","-","R/R",NA,NA,0,1,NA,1,0,0,1,1,NA,5,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,1,NA,NA,NA,NA,NA,NA,NA,597157,2025
"53","12","Jacob Nolan","Sr","P","-","R/R",1,NA,81,0.1,NA,3,5,3,1,NA,NA,6,"5",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"24",1,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"54","Succ-Opp against Leadoff Batter","Jacob Nolan","Sr","P","-","R/R",NA,NA,NA,0,NA,1,0,0,0,0,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"55","Hits-AB with runners ob","Jacob Nolan","Sr","P","-","R/R",NA,NA,0,0.1,NA,2,0,0,1,0,NA,5,"4",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"56","Bases Empty","Jacob Nolan","Sr","P","-","R/R",NA,NA,NA,0,NA,1,0,0,0,0,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"57","H-AB scorepos","Jacob Nolan","Sr","P","-","R/R",NA,NA,0,0.1,NA,2,0,0,1,0,NA,4,"3",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"58","Hits-AB vs rhb","Jacob Nolan","Sr","P","-","R/R",NA,NA,0,0.1,NA,3,0,0,1,0,NA,6,"5",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"59","50","Chris Jenkins","Sr","P","-","R/R",21,NA,0.62,43.1,NA,23,8,3,14,36,NA,171,"142",4,NA,NA,NA,2,11,NA,NA,NA,1,3,"631",38,42,2,1,3,11,NA,NA,NA,597157,2025
"60","Succ-Opp against Leadoff Batter","Chris Jenkins","Sr","P","-","R/R",NA,NA,0,10,NA,7,0,0,3,9,NA,42,"38",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"",11,8,NA,NA,NA,3,NA,NA,NA,597157,2025
"61","Hits-AB with runners ob","Chris Jenkins","Sr","P","-","R/R",NA,NA,0,21.2,NA,6,0,0,8,15,NA,81,"64",3,NA,NA,NA,2,8,NA,NA,NA,NA,NA,"",18,20,NA,NA,NA,4,NA,NA,NA,597157,2025
"62","Hits-AB vs lhb","Chris Jenkins","Sr","P","-","R/R",NA,NA,0,6,NA,7,0,0,5,3,NA,28,"22",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"",3,9,NA,NA,NA,1,NA,NA,NA,597157,2025
"63","Hits-AB w2outs","Chris Jenkins","Sr","P","-","R/R",NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"64","Bases Empty","Chris Jenkins","Sr","P","-","R/R",NA,NA,0,21.2,NA,17,0,0,6,21,NA,93,"84",1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,"",19,22,NA,NA,NA,7,NA,NA,NA,597157,2025
"65","H-AB scorepos","Chris Jenkins","Sr","P","-","R/R",NA,NA,0,12.1,NA,2,0,0,5,11,NA,45,"36",1,NA,NA,NA,2,4,NA,NA,NA,NA,NA,"",8,11,NA,NA,NA,3,NA,NA,NA,597157,2025
"66","H-AB scorepos2","Chris Jenkins","Sr","P","-","R/R",NA,NA,0,5.2,NA,2,0,0,3,8,NA,25,"20",1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,"",3,4,NA,NA,NA,3,NA,NA,NA,597157,2025
"67","H-AB runners2","Chris Jenkins","Sr","P","-","R/R",NA,NA,0,8.2,NA,2,0,0,4,10,NA,38,"30",1,NA,NA,NA,1,4,NA,NA,NA,NA,NA,"",5,8,NA,NA,NA,3,NA,NA,NA,597157,2025
"68","H-AB bases loaded","Chris Jenkins","Sr","P","-","R/R",NA,NA,0,1.1,NA,0,0,0,0,2,NA,3,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
